id;file_name;file_type;url;product_id
1;TuTuongHCM;Image;https://img.websosanh.vn/v2/users/root_product/images/giao-trinh-tu-tuong-ho-chi/H0XH26DZMAo8.jpg?compress=85&width=220;1
2;AmSieuToc;Image;https://cdn.pico.vn/Product/38154/298358_am_sieu_toc_nagakawa_nag0305_18_lit_1.jpg;2
3;BanHoc;Image;https://noithattuanh.com/wp-content/uploads/2021/05/ban-hoc-don-gian-co-gia-sach-mau-trang-dep-bh29a.jpg;3
4;B1;Image;https://www.tailieuielts.com/wp-content/uploads/2022/05/sach-tieng-anh-b1-1.jpg;4
5;TuQA;Video;https://www.youtube.com/watch?v=qW_B1eX9PTc;5
6;Nike;Video;https://www.youtube.com/watch?v=iC-5qqHV8eY;6
7;Quat;Video;https://kevin.biz;7
8;TaiNghe;Video;https://www.youtube.com/watch?v=7ix7Mraq0kk;8
9;Bep;Image;https://cdn.tgdd.vn/Products/Images/1982/260071/Kit/crystal-ly-t39-11.jpg;9
10;DevUp;Image;https://images.thuvienpdf.com/3erS1W7JoG.webp;10
